deck,date,event,matchup,wins,losses,matchwin
murktide v1,2022-06-05T00:00:00Z,modern league,UR murktide,2,1,1
murktide v1,2022-06-05T00:00:00Z,modern league,4c omnath,0,2,0
murktide v1,2022-06-05T00:00:00Z,modern league,Hammertime,2,1,1
murktide v1,2022-06-05T00:00:00Z,modern league,UR murktide,0,2,0
murktide v1,2022-06-05T00:00:00Z,modern league,Hammertime,0,2,0
murktide v2,2022-06-06T00:00:00Z,modern league,charbelcher,0,2,0
murktide v2,2022-06-06T00:00:00Z,modern league,mono green tron,0,2,0
murktide v2,2022-06-06T00:00:00Z,modern league,humans,1,2,0
murktide v2,2022-06-06T00:00:00Z,modern league,BR skelementals,1,2,0
murktide v2,2022-06-07T00:00:00Z,modern tournament practice,burn,1,0,1
murktide v2,2022-06-07T00:00:00Z,modern tournament practice,Yawgmoth,2,0,1
murktide v2,2022-06-07T00:00:00Z,modern league,grixis shadow,0,2,0
murktide v2,2022-06-07T00:00:00Z,modern league,grixis shadow,0,2,0
murktide v2,2022-06-07T00:00:00Z,modern league,UB Asmo,2,0,1
murktide v2,2022-06-07T00:00:00Z,modern league,4c omnath,2,1,1
murktide v2,2022-06-08T00:00:00Z,modern league,UR murktide,1,2,0
murktide v3,2022-06-08T00:00:00Z,modern league,mono black coffers,0,2,0
murktide v3,2022-06-08T00:00:00Z,modern league,mono B vampires,2,0,1
murktide v3,2022-06-08T00:00:00Z,modern league,rhinos,0,2,0
murktide v3,2022-06-08T00:00:00Z,modern league,grixi reanimator,0,2,0
murktide v3,2022-06-08T00:00:00Z,modern league,br goblins,2,0,1
jeskai stoneblade,2022-06-08T00:00:00Z,modern league,grixis shadow,0,2,0
jeskai stoneblade,2022-06-08T00:00:00Z,modern league,mono black coffers,0,2,0
jeskai stoneblade,2022-06-09T00:00:00Z,modern league,UR murktide,2,0,1
jeskai stoneblade,2022-06-09T00:00:00Z,modern league,4c glimpse,2,0,1
jeskai stoneblade,2022-06-09T00:00:00Z,modern league,esper reanimator,2,1,1
murktide v4,2022-06-09T00:00:00Z,modern league,grixis shadow,0,2,0
murktide v4,2022-06-09T00:00:00Z,modern league,grixis shadow,2,1,1
murktide v4,2022-06-09T00:00:00Z,modern league,eldrazi tribal,2,1,1
murktide v4,2022-06-09T00:00:00Z,modern league,UR murktide,2,1,1
murktide v4,2022-06-09T00:00:00Z,modern league,4c omnath,1,2,0
murktide v4,2022-06-09T00:00:00Z,modern league,yawgmoth,2,1,1
